OBJECTID,AREA,dcode,dname,dname_e,pcode,no_female,pname,no_male,no_health,no_temple,no_commu,no_hos,no_sch,count
"29",11804564.00000000,"1025",??????,Bang Phlat,"10","53750",?????????,"46569","1","23","46","0","11",11
"30",16319268.00000000,"1017",???????,Huai Khwang,"10","42026",?????????,"35694","2","3","25","0","3",3
"31",17075578.00000000,"1045",????????,Wang Thong Lang,"10","62158",?????????,"52925","0","1","19","0","3",3
"32",51732144.00000000,"1048",????????,Thawi Watthana,"10","40264",?????????,"35196","1","3","13","0","6",7
"33",128628048.00000000,"1011",???????,Lat Krabang,"10","83816",?????????,"77034","2","13","60","1","20",20
"34",8465891.00000000,"1026",????,Din Daeng,"10","70163",?????????,"61684","2","2","22","0","3",3
"35",35767720.00000000,"1019",??????,Taling Chan,"10","56372",?????????,"50414","1","30","43","0","16",16
"36",11329900.00000000,"1002",?????,Dusit,"10","51302",?????????,"57513","2","17","45","1","9",9
"37",28068656.00000000,"1044",??????,Saphan Sung,"10","47694",?????????,"41224","1","1","28","0","6",6
"39",9214668.00000000,"1014",??????,Phaya Thai,"10","36894",?????????,"36639","2","1","29","0","1",1
"40",12323945.00000000,"1020",?????????,Bangkok Noi,"10","62888",?????????,"57144","1","32","43","0","15",15
"41",7167652.00000000,"1037",???????,Ratchathewi,"10","38014",?????????,"34886","1","4","25","0","4",4
"42",5361067.00000000,"1001",??????,Phra Nakhon,"10","30548",?????????,"28223","2","23","21","0","11",11
"43",2504113.00000000,"1008",???????????????,Pom Prap Sattru Phai,"10","26781",?????????,"25312","1","11","15","1","4",4
"44",8032768.00000000,"1007",???????,Parthum Wan,"10","29559",?????????,"25437","2","6","16","0","8",8
"45",47890656.00000000,"1040",?????,Bang Khae,"10","101978",?????????,"90298","1","5","47","1","12",12
"46",24113560.00000000,"1034",??????,Suanluang,"10","61730",??????????,"53689","2","4","46","0","8",8
"47",12996544.00000000,"1039",?????,Vadhana,"10","42694",?????????,"38153","1","2","17","0","8",8
"48",6298272.00000000,"1016",????????,Bangkok Yai,"10","38845",?????????,"35019","1","13","34","0","6",6
"49",19182494.00000000,"1022",?????????,Phasi Charoen,"10","68937",?????????,"61556","2","27","54","0","13",13
"50",1392972.75000000,"1013",??????????,Samphanthawong,"10","14414",?????????,"13587","1","13","19","0","3",3
"51",13240401.00000000,"1033",???????,Khlong Toei,"10","57241",?????????,"53240","2","3","41","0","4",4
"52",8461864.00000000,"1015",???????,Thon buri,"10","63888",?????????,"57651","3","25","45","0","17",17
"53",5965976.00000000,"1018",??????,Khlong San,"10","41138",?????????,"36333","1","8","44","1","7",7
"54",53728764.00000000,"1032",???????,Pra Wet,"10","83349",?????????,"75108","1","6","41","0","16",16
"55",4012576.00000000,"1004",?????,Bang Rak,"10","24348",?????????,"21739","1","4","16","0","5",5
"56",36201384.00000000,"1023",??????,Nong Khaem,"10","78807",?????????,"69491","1","7","71","1","6",6
"58",7259143.00000000,"1028",????,Sathon,"10","45097",?????????,"41117","1","3","25","0","2",2
"60",12504782.00000000,"1012",???????,Yan na wa,"10","42966",?????????,"39515","2","8","22","0","6",6
"62",23167158.00000000,"1035",??????,Chom Thong,"10","82531",?????????,"76115","1","17","53","0","11",11
"63",8312167.00000000,"1031",?????????,Bang Kho laen,"10","50150",?????????,"46272","3","11","29","1","7",7
"64",13578695.00000000,"1009",??????,Phra Khanong,"10","50796",?????????,"43686","2","4","45","0","4",4
"66",12333130.00000000,"1024",??????????,Rat Burana,"10","45552",?????????,"42289","2","7","28","0","6",6
"67",35857236.00000000,"1050",?????,Bang Bon,"10","54392",?????????,"50376","1","2","11","0","8",8
"68",18947526.00000000,"1047",?????,Bang Na,"10","51225",?????????,"45814","1","4","40","0","7",7
"69",122207808.00000000,"1021",?????????,Bang Khun thain,"10","84668",?????????,"76974","1","15","49","0","16",16
"10",36691444.00000000,"1036",???????,Don Mueang,"10","83519",?????????,"82691","1","7","81","0","6",6
"11",240448192.00000000,"1003",?????,Nong Chok,"10","78970",?????????,"75401","1","16","87","1","37",36
"12",43612880.00000000,"1042",???????,Sai Mai,"10","98186",?????????,"87801","1","8","69","0","9",9
"13",120176920.00000000,"1046",?????????,Khlong Sam Wa,"10","86548",?????????,"78804","1","10","73","0","18",18
"14",22669208.00000000,"1041",???????,Lak Si,"10","58013",?????????,"53107","1","1","73","0","6",6
"16",40959096.00000000,"1005",????,Bang Khen,"10","98252",?????????,"90000","0","4","74","0","5",5
"20",32656716.00000000,"1030",??????,Chatu Chak,"10","85223",?????????,"76186","1","2","41","0","7",7
"21",25380514.00000000,"1043",????????,Khan Na Yao,"10","46450",?????????,"40719","0","2","39","0","2",2
"22",61120416.00000000,"1010",???????,Min Buri,"10","71556",?????????,"64680","1","6","62","0","13",14
"23",21266434.00000000,"1038",????????,Lat Phrao,"10","66354",?????????,"55826","1","4","32","0","6",6
"24",12885789.00000000,"1029",???????,Bang Sue,"10","70880",?????????,"64121","2","9","50","0","7",7
"25",23404956.00000000,"1027",???????,Bueng Kum,"10","78889",?????????,"67308","1","5","41","0","8",7
"28",27587404.00000000,"1006",??????,Bang Kapi,"10","80825",?????????,"67820","1","5","28","0","11",12
"72",32950616.00000000,"1049",??????,Thung khru,"10","61249",?????????,"54574","2","4","30","0","8",8
